"","gene_names","YH_0","YH_1","YH_2","OH_0","OH_1","OH_2","Avg_Expr","Fold_Change","p_value","q_value"
"ENSMUSG00000038181","Chpf2",4.65168892017767,4.80563296574487,4.16343432481659,3.95545230434319,4.52678872719711,4.76803607693601,4.41675903615877,0.123493034087605,0.680263209163095,0.834833336191652
"ENSMUSG00000038187","Btbd10",4.73367972385188,4.40014168051119,4.45731192357917,4.66461936655827,4.03369609658129,4.2675882315151,4.32196789821822,0.20840987776253,0.393019411165624,0.783852600204576
"ENSMUSG00000038188","Scarf1",6.51502326854842,6.30526103365185,6.11710903657243,6.24645559354538,6.09463089867749,5.99360643665625,6.11156430962637,0.200900136631194,0.33158837046246,0.766344604654605
"ENSMUSG00000038195","Rilp",2.76747683368801,3.49175050103445,3.22702324582491,3.58815693553644,3.42962801450442,2.6355106329882,3.21776519434302,-0.0556816674938974,0.867733491476674,0.856058741851817
"ENSMUSG00000038205","Prkab2",1.85573859869685,1.44784893282395,3.0544004949099,1.45793568665984,2.05181406603198,1.67656981889586,1.72877319052923,0.390556151614339,0.390037486777572,0.782336702872615
"ENSMUSG00000038206","Fbxo8",4.13109555164169,3.52105073690096,4.82608573379266,4.93361512538202,4.40371764212246,4.53720908027135,4.62484728259195,-0.465436608480173,0.230456061437625,0.738042890138791
"ENSMUSG00000038208","Pgap3",0.817933454754112,2.33908321155906,2.01802520838825,2.59296884158547,1.76069786200535,2.39669930243705,2.25012200200929,-0.525108043775484,0.268370839355301,0.750607854505398
"ENSMUSG00000038212","Hiatl1",6.20884106511433,5.51828648555652,5.67257243279077,5.54853218466421,5.94563813353855,5.90293941897129,5.79903657905802,0.000863415429189835,0.997314385438661,0.872787475820501
"ENSMUSG00000038213","Tapbpl",5.52755519879454,5.67017184711465,5.28269555304024,5.63670581516562,5.71913688351248,5.49176011965332,5.61586760611047,-0.122393406460664,0.54061513833913,0.811593760094967
"ENSMUSG00000038215","Cep44",3.62673115067279,4.12147964190528,4.17079035888557,4.1124749546795,3.53728364072345,4.10196096824969,3.91723985455088,0.0557605292703306,0.833392658259902,0.854113501865899
"ENSMUSG00000038217","Tlcd2",2.45970177077695,3.63889634442305,3.51355390948738,3.22265465885016,2.8173346896455,3.2969712530167,3.11232020050412,0.0917304743916749,0.800325421641826,0.850082831780891
"ENSMUSG00000038225","Primpol",2.04302947156641,1.83093269625904,2.44688611331903,1.91912647529479,2.36398683139687,3.11327042661082,2.46546124443416,-0.358511817386,0.330293203704628,0.766344604654605
"ENSMUSG00000038235","F11r",8.69533966534219,8.75593908395483,8.77682449748179,8.88440560581226,8.72169050410241,8.73366277861968,8.77991962951145,-0.0372185472518468,0.830239179285871,0.853841588296902
"ENSMUSG00000038236","Hoxa7",1.07973650015065,2.00629802390037,2.87134098275927,3.54233234974415,3.15944189454116,2.98285123696852,3.22820849375128,-1.24241665814784,0.0282970000576914,0.588258727962886
"ENSMUSG00000038240","Pdss2",2.80215391718681,2.12696625049612,2.56332899786917,1.55646375032459,1.22247691957142,2.19335227599477,1.65743098196359,0.840052073220436,0.0316556168404373,0.598657705916178
"ENSMUSG00000038241","Cep250",2.01862705321802,1.8326105598509,3.01358731773337,1.95833045077707,2.6229139565652,2.92313967025612,2.50146135919946,-0.213186382265367,0.603506650298322,0.822353510596835
"ENSMUSG00000038244","Mical2",3.58061585177229,3.80139667079131,3.20361463830768,3.04177040185711,3.36666492290508,3.15226131274743,3.18689887916988,0.34164350778722,0.169106588086325,0.735548480088371
"ENSMUSG00000038250","Usp38",3.74364421670626,3.17958748242119,3.02406076526074,2.50770331946856,3.54807898929336,3.30824290794911,3.12134173890368,0.194422415892383,0.580986331744995,0.820326146051143
"ENSMUSG00000038252","Ncapd2",3.52056053946206,3.41157810037014,2.8177501272414,3.11287691460495,2.12131717456711,2.92912819028488,2.72110742648565,0.528855495872219,0.154391854114093,0.72531739702281
"ENSMUSG00000038253","Hoxa5",1.86866701306423,2.71627320827599,1.89341657778946,1.97519360685633,2.92945773832863,2.30898987100379,2.40454707206292,-0.245094805686357,0.499148547673405,0.806254541952933
"ENSMUSG00000038256","Bcl9",1.0897828651855,2.32527990690452,1.9408470533879,2.11843946737197,1.82432795245096,1.63352420945583,1.85876387642625,-0.0734606012669448,0.835821050306946,0.854113501865899
"ENSMUSG00000038260","Trpm4",2.99474443908944,2.69729120982962,3.09078061654,3.05694068989558,3.56859155759841,3.06193514445177,3.22915579731525,-0.301550375495564,0.225785435614083,0.738042890138791
"ENSMUSG00000038264","Sema7a",4.63616056359272,4.1635389854892,4.59730471113266,5.11824342848262,4.59300112221901,4.4007223532411,4.70398896798091,-0.23832088124272,0.387549026309785,0.781683218704868
"ENSMUSG00000038267","Slc22a23",1.34345899086968,1.68326526544419,1.08561500873274,1.90116618141097,0.222328529141299,1.49529606411787,1.20626359155671,0.164516163458823,0.720598434691688,0.840440620572724
"ENSMUSG00000038268","Ovca2",3.50629726547152,3.08512718021332,3.52541744813588,3.41055412793943,3.41492974396894,2.93234469203627,3.25260952131488,0.119671109958699,0.620567182186104,0.824942035998582
"ENSMUSG00000038271","Iffo1",3.81950469604193,4.81111133949504,3.73945930015268,4.65595854893165,4.65925670083724,4.866517339558,4.7272441964423,-0.603885751212414,0.0977120665012846,0.683324752275863
"ENSMUSG00000038274","Fau",1.37032612119607,1.5527754419269,1.26328685537726,1.71104550874275,1.44476246600485,0.949533438963122,1.36844713790357,0.0270156682631713,0.91504654517899,0.862683037132007
"ENSMUSG00000038279","Nop2",4.59261849047648,4.51558000289944,4.4504788613506,4.74797810690445,4.42018593669172,3.99086412200639,4.38634272186752,0.133216396374651,0.589310535791184,0.820827919235736
"ENSMUSG00000038280","Ostm1",4.87970576628229,5.0932432419615,4.69099249428593,4.75020986995748,5.16400584062328,4.97706464817923,4.96376011958666,-0.0757796187434186,0.723931929111922,0.840586387285053
"ENSMUSG00000038286","Bphl",3.64319817079635,3.11343546961067,3.80485896278582,3.62599516222362,3.72198504595659,3.7342110253697,3.69406374451664,-0.173566210119026,0.47370791065256,0.801629421215019
"ENSMUSG00000038290","Smg6",2.88770267233228,3.57959049497976,3.65284210553073,3.48655992818524,3.44164946495288,4.04576621286847,3.65799186866886,-0.284613444387938,0.357977672048479,0.772682927233452
"ENSMUSG00000038291","Snx25",4.46023143686723,4.45971357238707,4.4379667443516,4.45464969330931,3.81781765012908,4.19608765593199,4.15618499979013,0.29645225141184,0.211406295179293,0.738042890138791
"ENSMUSG00000038295","Atg9b",3.26838498536593,2.55414185393068,2.94422876875926,2.78295995488754,2.92621390858416,2.62405175089434,2.77774187145535,0.14450999789661,0.55995271699021,0.816480302983168
"ENSMUSG00000038296","Galnt18",6.58541777949853,5.94349707996707,6.57115648444505,6.93425700072363,6.5310741727412,6.44695755331711,6.63742957559398,-0.270739127623762,0.327141970173257,0.766344604654605
"ENSMUSG00000038299","Wdr36",4.11767011108842,3.67907468042754,3.47370899618688,3.91426791776573,4.07449687333346,3.25766541691646,3.74881006933855,0.0080078598957286,0.978765200731447,0.870766470420778
"ENSMUSG00000038301","Snx10",4.27849777956398,4.28782686728508,4.28247687274809,4.71693603803729,4.77538772809043,4.53419859216575,4.67550745276449,-0.392573612898772,0.0559267705306032,0.619545264751557
"ENSMUSG00000038302","Lace1",4.23714302388962,3.54942274574666,4.03040671042605,3.55815740696409,3.05257239790131,3.90864961077719,3.5064598052142,0.432531021473249,0.187096643377804,0.738042890138791
"ENSMUSG00000038305","Spats2l",5.52652584316592,5.30753417323343,4.6828878694449,4.28764959209501,4.54945971217708,4.01722710977198,4.28477880468136,0.887537157266726,0.0160411724356567,0.532539994818468
"ENSMUSG00000038312","Edem2",4.67837619150625,4.9486475661359,4.93057177289447,5.21197003683962,5.22068207190758,5.19215470371957,5.20826893748892,-0.355737093976719,0.0822708099429141,0.662940493527894
"ENSMUSG00000038323","1700066M21Rik",2.23408433186234,1.46984951781637,1.98150198099385,2.07545732839337,1.86300673937331,3.13962502005194,2.35936302927287,-0.464217752382016,0.267771662126574,0.750350636745822
"ENSMUSG00000038324","Trpc4ap",6.78816365703777,6.45538969463453,6.5491870624836,6.66725349770251,6.27290780062661,6.39206664684645,6.44407598172519,0.15350415632678,0.467452532644198,0.800167317660219
"ENSMUSG00000038332","Sesn1",4.71760514326077,4.75401627881712,4.45736446139686,4.45595841542146,5.43407773029414,5.0589658220023,4.98300065590597,-0.340005361414382,0.266919493694707,0.750031258973573
"ENSMUSG00000038335","Tsr1",1.62981354687,2.14082118358121,3.1745374504539,1.74568050816797,2.98259207325405,2.61881890644061,2.44903049595421,-0.133973102319173,0.787111165075301,0.847395760243427
"ENSMUSG00000038342","Mlxip",4.30412403222807,3.50086577492907,3.77212847158088,3.87141984387131,3.66245618317226,3.89712423069111,3.8103334192449,0.0487060070011112,0.850711693239323,0.855344916736828
"ENSMUSG00000038344","Txlng",1.3341906771967,1.17746498590472,1.69859633036759,1.77462051423219,1.8920917692402,2.41988941034091,2.0288672312711,-0.625449900114765,0.0428775591993259,0.605592208222722
"ENSMUSG00000038346","Zfp384",5.03018597377116,5.03572067261645,4.75123339432075,5.15928203188844,5.07450543636363,5.09428674910928,5.10935807245379,-0.170311392217662,0.370407226780561,0.777531127959314
