"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol","entrezid"
"ENSMUSG00000083397",4.19827454985401,-5.57109224570627,3.91748640794542,-1.4221088896204,0.154994642509835,NA,NA,NA
"ENSMUSG00000083416",5.10420546746952,-0.602568745837908,1.55916555001639,-0.386468740174238,0.699149549423248,NA,NA,NA
"ENSMUSG00000083424",1.47118739644455,0.921938906216708,2.43388571607893,0.378793014037644,0.704841575476979,NA,NA,NA
"ENSMUSG00000083435",8.68547544282831,0.0831960051363741,1.29376033982088,0.0643055769880009,0.94872691285404,0.999435850130721,NA,NA
"ENSMUSG00000083438",4.80120265595912,0.887376164093304,1.58044669384331,0.561471745646414,0.574475986318948,NA,NA,NA
"ENSMUSG00000083443",1384.1566407986,-0.226327061403047,0.156103703326314,-1.44985068630909,0.147100161511862,0.748217298609736,NA,NA
"ENSMUSG00000083449",256.678183894507,0.267753700174214,0.335667229310616,0.797676021946256,0.42505852202114,0.96914013448931,NA,NA
"ENSMUSG00000083457",0.656773680784393,-2.89776524890847,3.97465998520241,-0.729059909450569,0.465965016618075,NA,NA,NA
"ENSMUSG00000083458",422.154077954313,0.00692354926484011,0.319055834941984,0.0217001179937646,0.982687169650394,0.999884473550494,NA,NA
"ENSMUSG00000083465",1174.967397947,-0.00690441687737975,0.148846579635041,-0.0463861305668478,0.963002490818457,0.999884473550494,NA,NA
"ENSMUSG00000083473",2.6831581501085,-4.92535158213166,3.92352630507431,-1.25533797894045,0.209356093668196,NA,NA,NA
"ENSMUSG00000083474",155.687394219646,-0.30558652559148,0.362520730081144,-0.842949106725786,0.399256907687347,0.960706136521781,NA,NA
"ENSMUSG00000083477",1546.56438382548,-0.234907890136967,0.182732021553269,-1.28553215873271,0.198606386423187,0.823578336593042,NA,NA
"ENSMUSG00000083482",72.8419354030311,-0.146787526100371,0.580353977564917,-0.252927578296733,0.800324177796249,0.998922454474621,NA,NA
"ENSMUSG00000083485",0.601262818280115,2.69239689323937,3.97766880720198,0.676878097131795,0.498483301999455,NA,NA,NA
"ENSMUSG00000083489",2.70680048086923,-3.87930194031822,3.84247580450629,-1.0095839603645,0.312694657423681,NA,NA,NA
"ENSMUSG00000083496",0.623481758875167,2.73990296081016,3.97539590901875,0.689215118070202,0.490687904428199,NA,NA,NA
"ENSMUSG00000083500",168.862780571367,0.390438377149129,0.574490868874729,0.679625035492542,0.496741913380025,0.985275988068339,NA,NA
"ENSMUSG00000083512",109.177690636214,0.2017320539314,0.424949962665713,0.474719547369609,0.634986883344951,0.998922454474621,NA,NA
"ENSMUSG00000083533",0.87792213296911,-3.31041245625759,3.95788000510432,-0.836410515727681,0.402923998772065,NA,NA,NA
"ENSMUSG00000083534",2.28219081403836,4.60905728117571,3.92569330596668,1.17407472309933,0.24036509698073,NA,NA,NA
"ENSMUSG00000083537",15.6024636488343,0.112839023788652,1.03209688962941,0.109329874862009,0.912940851901863,0.998945866130134,NA,NA
"ENSMUSG00000083538",12.4750566632432,-2.7083315189147,2.09070225161186,-1.29541713404033,0.195176370483585,0.818955864460747,NA,NA
"ENSMUSG00000083549",5.51587540071993,-0.837665114209485,1.49374214326839,-0.560782942346815,0.574945516429199,NA,NA,NA
"ENSMUSG00000083554",66.0591686981761,0.962626420594452,0.759330267974496,1.26773086915427,0.204894077055781,0.828645889640767,NA,NA
"ENSMUSG00000083557",305.586947964466,-0.0557456215982791,0.628566787805872,-0.0886868709574514,0.929330766875516,0.998945866130134,NA,NA
"ENSMUSG00000083563",6.17370845242032,1.04905147840256,1.49031222218727,0.703913893199449,0.481486398821843,NA,NA,NA
"ENSMUSG00000083567",74.0480265208381,-0.605248120319422,0.841535399438313,-0.719218847743538,0.472006088200819,0.980221832258439,NA,NA
"ENSMUSG00000083595",227.921315689383,0.0292614838938982,0.387785347970183,0.0754579409641544,0.939850360337656,0.998945866130134,NA,NA
"ENSMUSG00000083596",0.80805870182394,-0.673118114700418,3.95768270252005,-0.17007884797632,0.864948128018467,NA,NA,NA
"ENSMUSG00000083599",33.7923194025007,0.364128673135729,0.79821675107638,0.456177689386633,0.648262207530134,0.998922454474621,NA,NA
"ENSMUSG00000083608",0.33586196398832,-1.92862463612276,4.03860612164473,-0.47754709868496,0.63297259088626,NA,NA,NA
"ENSMUSG00000083610",2562.58577711073,-0.206413402192554,0.177662344105533,-1.16182978014712,0.245304614817673,0.875273941083793,NA,NA
"ENSMUSG00000083614",1.39964273948762,-0.602595300948128,3.86061116059981,-0.156088058569075,0.875963610875701,NA,NA,NA
