"","nGene","nUMI","orig.ident","percent.mito","CellType","res.0.6","Batch","Jun_Status"
"Cell_413",855,1313,"Cell",0,"Young","4","Batch1","Low"
"Cell_415",940,1463,"Cell",0,"Young","2","Batch1","Low"
"Cell_416",1910,4066,"Cell",0,"Young","3","Batch1","Low"
"Cell_417",773,1062,"Cell",0,"Young","7","Batch1","Low"
"Cell_418",1932,4755,"Cell",0,"Young","6","Batch1","Low"
"Cell_419",751,1139,"Cell",0,"Young","0","Batch1","High"
"Cell_420",657,1099,"Cell",0,"Young","0","Batch1","High"
"Cell_421",1163,2109,"Cell",0,"Young","3","Batch1","Low"
"Cell_422",650,954,"Cell",0,"Young","3","Batch1","Low"
"Cell_423",600,916,"Cell",0,"Young","1","Batch1","Low"
"Cell_424",738,1119,"Cell",0,"Young","1","Batch1","Low"
"Cell_425",872,1403,"Cell",0,"Young","2","Batch1","Low"
"Cell_426",691,995,"Cell",0,"Young","1","Batch1","Low"
"Cell_427",1633,3194,"Cell",0,"Young","3","Batch1","Low"
"Cell_428",970,1700,"Cell",0,"Young","3","Batch1","Low"
"Cell_429",1329,2348,"Cell",0,"Young","2","Batch1","Low"
"Cell_430",1100,2030,"Cell",0,"Young","2","Batch1","Low"
"Cell_431",801,1202,"Cell",0,"Young","1","Batch1","Low"
"Cell_432",1124,2130,"Cell",0,"Young","1","Batch1","Low"
"Cell_433",1183,1916,"Cell",0,"Young","5","Batch1","Low"
"Cell_434",1418,8040,"Cell",0,"Young","6","Batch1","Low"
"Cell_435",1430,3037,"Cell",0,"Young","6","Batch1","Low"
"Cell_437",1018,1973,"Cell",0,"Young","6","Batch1","Low"
"Cell_439",1248,2428,"Cell",0,"Young","5","Batch1","Low"
"Cell_440",773,1261,"Cell",0,"Young","0","Batch1","High"
"Cell_441",1852,4395,"Cell",0,"Young","6","Batch1","Low"
"Cell_442",588,909,"Cell",0,"Young","4","Batch1","Low"
"Cell_443",1146,1970,"Cell",0,"Young","1","Batch1","Low"
"Cell_444",787,1277,"Cell",0,"Young","0","Batch1","High"
"Cell_445",1123,1949,"Cell",0,"Young","1","Batch1","Low"
"Cell_446",621,1072,"Cell",0,"Young","3","Batch1","Low"
"Cell_447",834,1469,"Cell",0,"Young","0","Batch1","High"
"Cell_448",637,1059,"Cell",0,"Young","1","Batch1","Low"
"Cell_450",684,1000,"Cell",0,"Young","2","Batch1","Low"
"Cell_451",1273,2285,"Cell",0,"Young","0","Batch1","High"
"Cell_452",1164,2083,"Cell",0,"Young","1","Batch1","Low"
"Cell_453",959,1617,"Cell",0,"Young","7","Batch1","Low"
"Cell_454",1817,3615,"Cell",0,"Young","4","Batch1","Low"
"Cell_455",797,1340,"Cell",0,"Young","4","Batch1","Low"
"Cell_456",1156,2010,"Cell",0,"Young","4","Batch1","Low"
"Cell_457",1208,2218,"Cell",0,"Young","3","Batch1","Low"
"Cell_458",1726,4030,"Cell",0,"Young","6","Batch1","Low"
"Cell_459",642,939,"Cell",0,"Young","3","Batch1","Low"
"Cell_460",1073,1901,"Cell",0,"Young","0","Batch1","High"
"Cell_461",1532,3018,"Cell",0,"Young","5","Batch1","Low"
"Cell_462",875,1396,"Cell",0,"Young","3","Batch1","Low"
"Cell_463",1141,2058,"Cell",0,"Young","0","Batch1","High"
"Cell_464",1019,1718,"Cell",0,"Young","0","Batch1","High"
"Cell_466",729,1089,"Cell",0,"Young","2","Batch1","Low"
"Cell_467",1241,2413,"Cell",0,"Young","2","Batch1","Low"
"Cell_468",1429,2661,"Cell",0,"Young","6","Batch1","Low"
"Cell_469",1236,2264,"Cell",0,"Young","3","Batch1","Low"
"Cell_470",903,1389,"Cell",0,"Young","4","Batch1","Low"
"Cell_471",896,1567,"Cell",0,"Young","0","Batch1","High"
"Cell_472",1739,3293,"Cell",0,"Young","7","Batch1","Low"
"Cell_473",725,1204,"Cell",0,"Young","2","Batch1","Low"
"Cell_476",843,1608,"Cell",0,"Young","2","Batch1","Low"
"Cell_477",1025,1717,"Cell",0,"Young","0","Batch1","High"
"Cell_478",1097,1792,"Cell",0,"Young","4","Batch1","Low"
"Cell_479",750,1099,"Cell",0,"Young","1","Batch1","Low"
"Cell_481",744,1092,"Cell",0,"Young","2","Batch1","Low"
"Cell_482",1217,2069,"Cell",0,"Young","3","Batch1","Low"
"Cell_483",1410,2607,"Cell",0,"Young","3","Batch1","Low"
"Cell_484",731,1137,"Cell",0,"Young","1","Batch1","Low"
"Cell_485",878,1393,"Cell",0,"Young","1","Batch1","Low"
"Cell_486",633,974,"Cell",0,"Young","0","Batch1","High"
"Cell_487",1413,2631,"Cell",0,"Young","3","Batch1","Low"
"Cell_488",1137,2001,"Cell",0,"Young","4","Batch1","Low"
"Cell_489",907,1409,"Cell",0,"Young","2","Batch1","Low"
"Cell_490",1099,1955,"Cell",0,"Young","2","Batch1","Low"
"Cell_491",793,1224,"Cell",0,"Young","1","Batch1","Low"
"Cell_492",980,1584,"Cell",0,"Young","3","Batch1","Low"
"Cell_493",679,1061,"Cell",0,"Young","0","Batch1","High"
"Cell_494",1156,1976,"Cell",0,"Young","1","Batch1","Low"
"Cell_495",623,895,"Cell",0,"Young","4","Batch1","Low"
"Cell_496",681,969,"Cell",0,"Young","4","Batch1","Low"
"Cell_497",1041,2043,"Cell",0,"Young","3","Batch1","Low"
"Cell_498",783,1213,"Cell",0,"Young","1","Batch1","Low"
"Cell_500",1242,2217,"Cell",0,"Young","1","Batch1","Low"
"Cell_501",1021,1778,"Cell",0,"Young","1","Batch1","Low"
"Cell_502",1438,3215,"Cell",0,"Young","5","Batch1","Low"
"Cell_503",631,923,"Cell",0,"Young","0","Batch1","High"
"Cell_504",954,1503,"Cell",0,"Young","4","Batch1","Low"
"Cell_505",798,1310,"Cell",0,"Young","1","Batch1","Low"
"Cell_506",1227,2222,"Cell",0,"Young","4","Batch1","Low"
"Cell_507",893,1398,"Cell",0,"Young","1","Batch1","Low"
"Cell_508",1058,1852,"Cell",0,"Young","8","Batch1","Low"
"Cell_509",714,980,"Cell",0,"Young","0","Batch1","High"
"Cell_510",941,1581,"Cell",0,"Young","3","Batch1","Low"
"Cell_511",997,1719,"Cell",0,"Young","0","Batch1","High"
"Cell_512",623,966,"Cell",0,"Young","1","Batch1","Low"
"Cell_513",1292,2464,"Cell",0,"Young","1","Batch1","Low"
"Cell_514",1042,1542,"Cell",0,"Young","1","Batch1","Low"
"Cell_515",911,1513,"Cell",0,"Young","2","Batch1","Low"
"Cell_516",758,1166,"Cell",0,"Young","2","Batch1","Low"
"Cell_517",1363,2443,"Cell",0,"Young","0","Batch1","High"
"Cell_518",1221,2388,"Cell",0,"Young","5","Batch1","Low"
"Cell_519",1042,1761,"Cell",0,"Young","0","Batch1","High"
"Cell_520",1019,1702,"Cell",0,"Young","2","Batch1","Low"
"Cell_521",680,1041,"Cell",0,"Young","0","Batch1","High"
"Cell_522",660,1067,"Cell",0,"Young","0","Batch1","High"
"Cell_523",783,1254,"Cell",0,"Young","3","Batch1","Low"
"Cell_524",665,1036,"Cell",0,"Young","0","Batch1","High"
"Cell_525",694,1095,"Cell",0,"Young","4","Batch1","Low"
"Cell_526",756,1115,"Cell",0,"Young","2","Batch1","Low"
"Cell_527",584,952,"Cell",0,"Young","2","Batch1","Low"
"Cell_528",691,1108,"Cell",0,"Young","2","Batch1","Low"
"Cell_529",1450,2650,"Cell",0,"Young","3","Batch1","Low"
"Cell_530",975,2187,"Cell",0,"Young","7","Batch1","Low"
"Cell_531",1250,2313,"Cell",0,"Young","0","Batch1","High"
"Cell_532",720,1248,"Cell",0,"Young","0","Batch1","High"
"Cell_533",857,1404,"Cell",0,"Young","0","Batch1","High"
"Cell_534",794,1252,"Cell",0,"Young","2","Batch1","Low"
"Cell_535",1885,3677,"Cell",0,"Young","5","Batch1","Low"
"Cell_536",696,1076,"Cell",0,"Young","2","Batch1","Low"
"Cell_537",941,1568,"Cell",0,"Young","0","Batch1","High"
"Cell_538",1036,1873,"Cell",0,"Young","0","Batch1","High"
"Cell_539",602,903,"Cell",0,"Young","3","Batch1","Low"
"Cell_540",1275,2516,"Cell",0,"Young","1","Batch1","Low"
"Cell_541",1266,2418,"Cell",0,"Young","7","Batch1","Low"
"Cell_542",667,1104,"Cell",0,"Young","1","Batch1","Low"
"Cell_543",1172,2033,"Cell",0,"Young","4","Batch1","Low"
"Cell_544",620,994,"Cell",0,"Young","7","Batch1","Low"
"Cell_545",1369,2462,"Cell",0,"Young","3","Batch1","Low"
"Cell_546",901,1498,"Cell",0,"Young","3","Batch1","Low"
"Cell_547",595,940,"Cell",0,"Young","4","Batch1","Low"
"Cell_548",1726,3782,"Cell",0,"Young","4","Batch1","Low"
"Cell_549",756,1189,"Cell",0,"Young","3","Batch1","Low"
"Cell_550",1170,1995,"Cell",0,"Young","4","Batch1","Low"
"Cell_551",1176,2167,"Cell",0,"Young","3","Batch1","Low"
"Cell_552",1632,3058,"Cell",0,"Young","5","Batch1","Low"
"Cell_553",1125,2122,"Cell",0,"Young","0","Batch1","High"
"Cell_554",598,901,"Cell",0,"Young","1","Batch1","Low"
"Cell_555",617,903,"Cell",0,"Young","2","Batch1","Low"
"Cell_556",1306,2442,"Cell",0,"Young","0","Batch1","High"
"Cell_557",885,1547,"Cell",0,"Young","4","Batch1","Low"
"Cell_558",776,1190,"Cell",0,"Young","4","Batch1","Low"
"Cell_559",644,934,"Cell",0,"Young","3","Batch1","Low"
"Cell_560",790,1135,"Cell",0,"Young","3","Batch1","Low"
"Cell_561",685,1076,"Cell",0,"Young","0","Batch1","High"
"Cell_562",936,1395,"Cell",0,"Young","1","Batch1","Low"
"Cell_563",816,1271,"Cell",0,"Young","0","Batch1","High"
"Cell_564",1080,1845,"Cell",0,"Young","0","Batch1","High"
"Cell_565",1403,2677,"Cell",0,"Young","3","Batch1","Low"
"Cell_566",2271,5395,"Cell",0,"Young","6","Batch1","Low"
"Cell_567",1149,1881,"Cell",0,"Young","3","Batch1","Low"
"Cell_568",797,1256,"Cell",0,"Young","1","Batch1","Low"
"Cell_569",871,1445,"Cell",0,"Young","4","Batch1","Low"
"Cell_570",1502,2890,"Cell",0,"Young","6","Batch1","Low"
"Cell_571",2241,5292,"Cell",0,"Young","6","Batch1","Low"
"Cell_572",1719,3692,"Cell",0,"Young","3","Batch1","Low"
"Cell_573",1136,2056,"Cell",0,"Young","2","Batch1","Low"
"Cell_574",725,1003,"Cell",0,"Young","2","Batch1","Low"
"Cell_575",872,1513,"Cell",0,"Young","2","Batch1","Low"
"Cell_576",891,1448,"Cell",0,"Young","4","Batch1","Low"
"Cell_577",805,1140,"Cell",0,"Young","4","Batch1","Low"
"Cell_578",1414,2970,"Cell",0,"Young","1","Batch1","Low"
"Cell_579",596,898,"Cell",0,"Young","0","Batch1","High"
"Cell_580",1467,2715,"Cell",0,"Young","2","Batch1","Low"
"Cell_581",1052,1740,"Cell",0,"Young","3","Batch1","Low"
"Cell_582",733,1115,"Cell",0,"Young","1","Batch1","Low"
"Cell_583",688,960,"Cell",0,"Young","2","Batch1","Low"
"Cell_584",1157,1974,"Cell",0,"Young","9","Batch1","Low"
"Cell_585",848,1384,"Cell",0,"Young","5","Batch1","Low"
"Cell_586",1615,3256,"Cell",0,"Young","7","Batch1","Low"
"Cell_588",1176,2109,"Cell",0,"Young","4","Batch1","Low"
"Cell_589",642,941,"Cell",0,"Young","1","Batch1","Low"
"Cell_590",1425,3420,"Cell",0,"Young","6","Batch1","Low"
"Cell_591",579,902,"Cell",0,"Young","1","Batch1","Low"
"Cell_592",934,1567,"Cell",0,"Young","0","Batch1","High"
"Cell_595",704,1106,"Cell",0,"Young","0","Batch1","High"
"Cell_596",1243,2208,"Cell",0,"Young","2","Batch1","Low"
"Cell_597",687,1083,"Cell",0,"Young","0","Batch1","High"
"Cell_598",897,1511,"Cell",0,"Young","1","Batch1","Low"
"Cell_599",777,1245,"Cell",0,"Young","4","Batch1","Low"
"Cell_600",703,1119,"Cell",0,"Young","1","Batch1","Low"
"Cell_601",1022,1807,"Cell",0,"Young","2","Batch1","Low"
"Cell_602",1494,2868,"Cell",0,"Young","1","Batch1","Low"
"Cell_603",1231,2240,"Cell",0,"Young","2","Batch1","Low"
"Cell_604",1696,3571,"Cell",0,"Young","1","Batch1","Low"
"Cell_605",631,1078,"Cell",0,"Young","0","Batch1","High"
"Cell_606",698,1096,"Cell",0,"Young","2","Batch1","Low"
"Cell_607",697,1146,"Cell",0,"Young","1","Batch1","Low"
"Cell_608",733,1146,"Cell",0,"Young","0","Batch1","High"
"Cell_609",1444,3103,"Cell",0,"Young","6","Batch1","Low"
"Cell_610",838,1424,"Cell",0,"Young","3","Batch1","Low"
"Cell_611",1001,1649,"Cell",0,"Young","0","Batch1","High"
"Cell_612",1167,1940,"Cell",0,"Young","3","Batch1","Low"
"Cell_613",1379,2738,"Cell",0,"Young","6","Batch1","Low"
"Cell_614",1117,1993,"Cell",0,"Young","0","Batch1","High"
"Cell_615",1491,2721,"Cell",0,"Young","3","Batch1","Low"
"Cell_616",1787,4189,"Cell",0,"Young","9","Batch1","Low"
"Cell_617",1301,2293,"Cell",0,"Young","8","Batch1","Low"
"Cell_618",765,1254,"Cell",0,"Young","2","Batch1","Low"
"Cell_619",1163,1985,"Cell",0,"Young","4","Batch1","Low"
"Cell_620",1255,2233,"Cell",0,"Young","9","Batch1","Low"
"Cell_621",1084,1891,"Cell",0,"Young","3","Batch1","Low"
"Cell_622",614,954,"Cell",0,"Young","3","Batch1","Low"
"Cell_623",834,1343,"Cell",0,"Young","2","Batch1","Low"
"Cell_624",624,918,"Cell",0,"Young","1","Batch1","Low"
"Cell_625",1208,2119,"Cell",0,"Young","3","Batch1","Low"
"Cell_626",1550,2931,"Cell",0,"Young","6","Batch1","Low"
"Cell_627",1224,2106,"Cell",0,"Young","3","Batch1","Low"
"Cell_628",1568,3633,"Cell",0,"Young","0","Batch1","High"
"Cell_630",806,1212,"Cell",0,"Young","2","Batch1","Low"
"Cell_631",644,907,"Cell",0,"Young","0","Batch1","High"
"Cell_632",1991,4269,"Cell",0,"Young","6","Batch1","Low"
"Cell_633",1027,1756,"Cell",0,"Young","4","Batch1","Low"
"Cell_634",684,932,"Cell",0,"Young","1","Batch1","Low"
"Cell_635",771,1196,"Cell",0,"Young","0","Batch1","High"
"Cell_636",2326,6041,"Cell",0,"Young","5","Batch1","Low"
"Cell_637",1331,2562,"Cell",0,"Young","0","Batch1","High"
"Cell_638",884,1600,"Cell",0,"Young","1","Batch1","Low"
"Cell_639",869,1452,"Cell",0,"Young","0","Batch1","High"
"Cell_640",906,1418,"Cell",0,"Young","0","Batch1","High"
"Cell_641",699,1051,"Cell",0,"Young","1","Batch1","Low"
"Cell_642",701,1077,"Cell",0,"Young","0","Batch1","High"
"Cell_643",921,1628,"Cell",0,"Young","1","Batch1","Low"
"Cell_644",1287,2408,"Cell",0,"Young","6","Batch1","Low"
"Cell_645",674,1024,"Cell",0,"Young","0","Batch1","High"
"Cell_646",771,1264,"Cell",0,"Young","1","Batch1","Low"
"Cell_647",1028,2138,"Cell",0,"Young","0","Batch1","High"
"Cell_648",669,1047,"Cell",0,"Young","0","Batch1","High"
"Cell_649",698,1111,"Cell",0,"Young","1","Batch1","Low"
"Cell_650",2023,4321,"Cell",0,"Young","5","Batch1","Low"
"Cell_651",876,1479,"Cell",0,"Young","0","Batch1","High"
"Cell_652",918,1420,"Cell",0,"Young","2","Batch1","Low"
"Cell_653",1037,1824,"Cell",0,"Young","4","Batch1","Low"
"Cell_654",1551,3427,"Cell",0,"Young","1","Batch1","Low"
"Cell_656",636,973,"Cell",0,"Young","0","Batch1","High"
"Cell_657",653,7292,"Cell",0,"Young","6","Batch1","Low"
"Cell_658",1812,3844,"Cell",0,"Young","4","Batch1","Low"
"Cell_659",726,1056,"Cell",0,"Young","2","Batch1","Low"
"Cell_660",804,1167,"Cell",0,"Young","1","Batch1","Low"
"Cell_661",1181,2347,"Cell",0,"Young","0","Batch1","High"
"Cell_662",1064,1782,"Cell",0,"Young","1","Batch1","Low"
"Cell_663",714,1140,"Cell",0,"Young","1","Batch1","Low"
"Cell_664",959,1656,"Cell",0,"Young","3","Batch1","Low"
"Cell_665",830,1318,"Cell",0,"Young","1","Batch1","Low"
"Cell_666",1312,2343,"Cell",0,"Young","3","Batch1","Low"
"Cell_667",700,1213,"Cell",0,"Young","4","Batch1","Low"
"Cell_668",2028,4943,"Cell",0,"Young","5","Batch1","Low"
"Cell_669",722,1105,"Cell",0,"Young","1","Batch1","Low"
"Cell_670",712,1102,"Cell",0,"Young","1","Batch1","Low"
"Cell_671",1126,2089,"Cell",0,"Young","9","Batch1","Low"
"Cell_672",1621,2990,"Cell",0,"Young","2","Batch1","Low"
"Cell_673",892,1346,"Cell",0,"Young","4","Batch1","Low"
"Cell_674",949,1558,"Cell",0,"Young","0","Batch1","High"
"Cell_675",2015,4602,"Cell",0,"Young","8","Batch1","Low"
"Cell_676",795,1286,"Cell",0,"Young","7","Batch1","Low"
"Cell_677",981,1687,"Cell",0,"Young","0","Batch1","High"
"Cell_678",648,964,"Cell",0,"Young","2","Batch1","Low"
"Cell_679",835,1300,"Cell",0,"Young","2","Batch1","Low"
"Cell_680",1661,3640,"Cell",0,"Young","6","Batch1","Low"
"Cell_681",1739,3777,"Cell",0,"Young","0","Batch1","High"
"Cell_682",639,917,"Cell",0,"Young","4","Batch1","Low"
"Cell_683",942,1484,"Cell",0,"Young","0","Batch1","High"
"Cell_684",930,1583,"Cell",0,"Young","4","Batch1","Low"
"Cell_685",580,978,"Cell",0,"Young","1","Batch1","Low"
"Cell_686",914,1889,"Cell",0,"Young","1","Batch1","Low"
"Cell_687",1722,3733,"Cell",0,"Young","7","Batch1","Low"
"Cell_688",717,1038,"Cell",0,"Young","0","Batch1","High"
"Cell_689",1482,3594,"Cell",0,"Young","5","Batch1","Low"
"Cell_690",832,1337,"Cell",0,"Young","1","Batch1","Low"
"Cell_691",758,1158,"Cell",0,"Young","3","Batch1","Low"
"Cell_692",1419,2820,"Cell",0,"Young","6","Batch1","Low"
"Cell_693",700,988,"Cell",0,"Young","7","Batch1","Low"
"Cell_694",727,1141,"Cell",0,"Young","3","Batch1","Low"
"Cell_695",1599,2727,"Cell",0,"Young","3","Batch1","Low"
"Cell_696",1436,2766,"Cell",0,"Young","3","Batch1","Low"
"Cell_697",1599,3383,"Cell",0,"Young","2","Batch1","Low"
"Cell_698",1267,2065,"Cell",0,"Young","0","Batch1","High"
"Cell_699",858,1361,"Cell",0,"Young","1","Batch1","Low"
"Cell_700",991,1860,"Cell",0,"Young","0","Batch1","High"
"Cell_701",981,1519,"Cell",0,"Young","7","Batch1","Low"
"Cell_702",793,1375,"Cell",0,"Young","1","Batch1","Low"
"Cell_703",1207,2232,"Cell",0,"Young","2","Batch1","Low"
"Cell_704",816,1262,"Cell",0,"Young","7","Batch1","Low"
"Cell_705",2072,5445,"Cell",0,"Young","6","Batch1","Low"
"Cell_706",1122,1951,"Cell",0,"Young","4","Batch1","Low"
"Cell_707",1245,2235,"Cell",0,"Young","3","Batch1","Low"
"Cell_708",1141,2025,"Cell",0,"Young","0","Batch1","High"
"Cell_709",590,1255,"Cell",0,"Young","6","Batch1","Low"
"Cell_710",767,1185,"Cell",0,"Young","1","Batch1","Low"
"Cell_712",1163,1953,"Cell",0,"Young","3","Batch1","Low"
"Cell_713",927,1565,"Cell",0,"Young","1","Batch1","Low"
"Cell_714",609,924,"Cell",0,"Young","1","Batch1","Low"
"Cell_715",857,1342,"Cell",0,"Young","0","Batch1","High"
"Cell_716",1323,2531,"Cell",0,"Young","0","Batch1","High"
"Cell_717",832,1367,"Cell",0,"Young","7","Batch1","Low"
"Cell_718",934,1627,"Cell",0,"Young","2","Batch1","Low"
"Cell_719",904,1525,"Cell",0,"Young","1","Batch1","Low"
"Cell_720",1394,2563,"Cell",0,"Young","2","Batch1","Low"
"Cell_721",844,1376,"Cell",0,"Young","1","Batch1","Low"
"Cell_722",1115,2049,"Cell",0,"Young","3","Batch1","Low"
"Cell_723",1391,3071,"Cell",0,"Young","0","Batch1","High"
"Cell_724",765,1253,"Cell",0,"Young","1","Batch1","Low"
"Cell_725",1473,2911,"Cell",0,"Young","4","Batch1","Low"
"Cell_726",649,1016,"Cell",0,"Young","0","Batch1","High"
"Cell_727",1963,4471,"Cell",0,"Young","6","Batch1","Low"
"Cell_729",1853,4111,"Cell",0,"Young","5","Batch1","Low"
"Cell_730",1586,3303,"Cell",0,"Young","5","Batch1","Low"
"Cell_732",971,1575,"Cell",0,"Young","3","Batch1","Low"
"Cell_733",939,1676,"Cell",0,"Young","7","Batch1","Low"
"Cell_734",692,1147,"Cell",0,"Young","0","Batch1","High"
"Cell_735",847,1331,"Cell",0,"Young","2","Batch1","Low"
"Cell_736",880,1396,"Cell",0,"Young","3","Batch1","Low"
"Cell_737",1701,3518,"Cell",0,"Young","4","Batch1","Low"
"Cell_738",1298,2174,"Cell",0,"Young","0","Batch1","High"
"Cell_739",989,1727,"Cell",0,"Young","0","Batch1","High"
"Cell_740",653,926,"Cell",0,"Young","4","Batch1","Low"
"Cell_741",1897,4158,"Cell",0,"Young","6","Batch1","Low"
"Cell_742",993,1647,"Cell",0,"Young","1","Batch1","Low"
"Cell_743",2033,4541,"Cell",0,"Young","6","Batch1","Low"
"Cell_744",1019,1659,"Cell",0,"Young","0","Batch1","High"
"Cell_745",841,1370,"Cell",0,"Young","0","Batch1","High"
"Cell_746",1279,2688,"Cell",0,"Young","9","Batch1","Low"
"Cell_747",957,1618,"Cell",0,"Young","0","Batch1","High"
"Cell_748",1702,3885,"Cell",0,"Young","5","Batch1","Low"
"Cell_749",1582,3202,"Cell",0,"Young","2","Batch1","Low"
"Cell_750",1374,2626,"Cell",0,"Young","4","Batch1","Low"
"Cell_751",944,1637,"Cell",0,"Young","2","Batch1","Low"
"Cell_752",1390,2424,"Cell",0,"Young","5","Batch1","Low"
"Cell_753",1125,2136,"Cell",0,"Young","1","Batch1","Low"
"Cell_754",698,991,"Cell",0,"Young","0","Batch1","High"
"Cell_755",1884,4040,"Cell",0,"Young","3","Batch1","Low"
"Cell_756",707,1161,"Cell",0,"Young","2","Batch1","Low"
"Cell_757",674,997,"Cell",0,"Young","10","Batch1","Low"
"Cell_758",1774,3687,"Cell",0,"Young","7","Batch1","Low"
"Cell_759",1230,2405,"Cell",0,"Young","0","Batch1","High"
"Cell_760",773,1204,"Cell",0,"Young","1","Batch1","Low"
"Cell_761",1418,2672,"Cell",0,"Young","5","Batch1","Low"
"Cell_762",680,993,"Cell",0,"Young","2","Batch1","Low"
"Cell_764",712,1151,"Cell",0,"Young","2","Batch1","Low"
"Cell_765",1115,1926,"Cell",0,"Young","2","Batch1","Low"
"Cell_766",1971,4749,"Cell",0,"Young","5","Batch1","Low"
"Cell_767",1421,2419,"Cell",0,"Young","9","Batch1","Low"
"Cell_768",1841,3862,"Cell",0,"Young","9","Batch1","Low"
"Cell_769",699,1093,"Cell",0,"Young","1","Batch1","Low"
"Cell_770",1135,1944,"Cell",0,"Young","2","Batch1","Low"
"Cell_771",633,974,"Cell",0,"Young","2","Batch1","Low"
"Cell_772",816,1269,"Cell",0,"Young","2","Batch1","Low"
"Cell_773",1860,3675,"Cell",0,"Young","3","Batch1","Low"
"Cell_774",650,978,"Cell",0,"Young","2","Batch1","Low"
"Cell_775",926,1459,"Cell",0,"Young","1","Batch1","Low"
"Cell_776",1457,2720,"Cell",0,"Young","3","Batch1","Low"
"Cell_777",800,1104,"Cell",0,"Young","7","Batch1","Low"
"Cell_778",2275,5275,"Cell",0,"Young","6","Batch1","Low"
"Cell_779",877,1414,"Cell",0,"Young","4","Batch1","Low"
"Cell_780",722,1187,"Cell",0,"Young","0","Batch1","High"
"Cell_781",1907,4228,"Cell",0,"Young","6","Batch1","Low"
"Cell_782",948,1470,"Cell",0,"Young","0","Batch1","High"
"Cell_783",801,1224,"Cell",0,"Young","2","Batch1","Low"
"Cell_784",623,1078,"Cell",0,"Young","1","Batch1","Low"
"Cell_785",1115,1913,"Cell",0,"Young","2","Batch1","Low"
"Cell_786",1242,2242,"Cell",0,"Young","3","Batch1","Low"
"Cell_787",2390,5954,"Cell",0,"Young","6","Batch1","Low"
"Cell_788",2113,5198,"Cell",0,"Young","0","Batch1","High"
"Cell_790",728,1156,"Cell",0,"Young","3","Batch1","Low"
"Cell_792",1543,3146,"Cell",0,"Young","6","Batch1","Low"
"Cell_793",1591,2841,"Cell",0,"Young","3","Batch1","Low"
"Cell_794",1774,3802,"Cell",0,"Young","4","Batch1","Low"
"Cell_795",1124,1997,"Cell",0,"Young","2","Batch1","Low"
"Cell_796",1379,2619,"Cell",0,"Young","6","Batch1","Low"
"Cell_797",628,974,"Cell",0,"Young","2","Batch1","Low"
"Cell_798",900,1406,"Cell",0,"Young","3","Batch1","Low"
"Cell_799",976,1555,"Cell",0,"Young","7","Batch1","Low"
"Cell_800",1011,1816,"Cell",0,"Young","0","Batch1","High"
"Cell_801",891,1408,"Cell",0,"Young","0","Batch1","High"
"Cell_802",675,973,"Cell",0,"Young","4","Batch1","Low"
"Cell_803",661,973,"Cell",0,"Young","1","Batch1","Low"
"Cell_804",710,1222,"Cell",0,"Young","2","Batch1","Low"
"Cell_805",737,1067,"Cell",0,"Young","1","Batch1","Low"
"Cell_806",1732,3678,"Cell",0,"Young","4","Batch1","Low"
"Cell_807",1027,1877,"Cell",0,"Young","0","Batch1","High"
"Cell_808",821,1273,"Cell",0,"Young","4","Batch1","Low"
"Cell_809",1811,3777,"Cell",0,"Young","3","Batch1","Low"
"Cell_811",960,1600,"Cell",0,"Young","0","Batch1","High"
"Cell_812",932,1590,"Cell",0,"Young","1","Batch1","Low"
"Cell_813",1028,1791,"Cell",0,"Young","0","Batch1","High"
"Cell_814",665,1082,"Cell",0,"Young","1","Batch1","Low"
"Cell_815",778,1176,"Cell",0,"Young","3","Batch1","Low"
"Cell_816",552,1001,"Cell",0,"Young","1","Batch1","Low"
"Cell_817",1521,3081,"Cell",0,"Young","7","Batch1","Low"
"Cell_818",1579,3077,"Cell",0,"Young","3","Batch1","Low"
"Cell_819",1153,1949,"Cell",0,"Young","0","Batch1","High"
"Cell_820",1226,2056,"Cell",0,"Young","1","Batch1","Low"
"Cell_821",1736,3715,"Cell",0,"Young","6","Batch1","Low"
"Cell_822",915,1552,"Cell",0,"Young","1","Batch1","Low"
