,OH1,OH3,OH4,YH1,YH3,YH4_1,YH4_L2
ENSMUSG00000001829,1160,1194,1069,1455,1090,1564,1545
ENSMUSG00000001833,18645,19730,19098,19295,19584,24446,24936
ENSMUSG00000001844,1950,2765,3136,816,2122,2123,2154
ENSMUSG00000001847,39774,42294,36774,37322,36180,40793,42174
ENSMUSG00000001855,1281,2081,1753,2625,2242,1642,1629
ENSMUSG00000001864,326,873,1067,661,1081,1418,1491
ENSMUSG00000001865,0,1,178,0,0,0,0
ENSMUSG00000001870,1877,3507,4181,3504,3441,1840,1907
ENSMUSG00000001891,2249,3261,2856,2642,3029,3446,3468
ENSMUSG00000001901,0,1,24,0,46,39,31
ENSMUSG00000001909,1911,1257,1281,2062,1465,1370,1465
ENSMUSG00000001910,1118,1044,894,1257,1175,1391,1376
ENSMUSG00000001911,2471,1767,1981,1317,1517,1935,1980
ENSMUSG00000001918,4102,6162,5205,3801,5818,5922,6157
ENSMUSG00000001924,8859,11618,10449,9943,11277,12898,13209
ENSMUSG00000001930,14614,19029,21855,15714,9260,11384,11897
ENSMUSG00000001942,826,937,624,850,1045,592,574
ENSMUSG00000001943,1507,857,758,527,505,809,833
ENSMUSG00000001946,82253,65405,54066,61414,53128,64817,65971
ENSMUSG00000001948,85,51,66,83,111,166,161
ENSMUSG00000001962,2556,2477,2231,1732,1578,2019,2101
ENSMUSG00000001964,2470,2454,2211,1666,2990,2169,2232
ENSMUSG00000001983,354,361,152,96,286,253,261
ENSMUSG00000001985,0,0,0,0,0,0,0
ENSMUSG00000001986,0,12,10,1,0,31,29
ENSMUSG00000001988,60,5,69,6,61,82,86
ENSMUSG00000001995,2938,3758,5383,6562,3553,5545,5634
ENSMUSG00000001998,267,921,701,1576,502,1163,1228
ENSMUSG00000001999,1235,1578,1298,657,683,1398,1423
ENSMUSG00000002006,1,17,33,0,28,15,12
ENSMUSG00000002007,55,194,274,96,359,400,441
ENSMUSG00000002010,3590,4857,4408,2627,3887,4594,4695
ENSMUSG00000002012,0,54,31,0,56,195,247
ENSMUSG00000002014,2089,2572,1779,1066,1576,2099,2209
ENSMUSG00000002015,8138,6899,6053,7778,6992,7335,7383
ENSMUSG00000002017,782,740,805,842,703,1005,1044
ENSMUSG00000002020,39,11,0,0,223,0,0
ENSMUSG00000002028,3069,1564,2781,1421,1802,1817,1763
ENSMUSG00000002031,522,593,633,648,806,602,644
ENSMUSG00000002032,108,91,55,0,0,0,0
ENSMUSG00000002033,0,22,0,0,0,0,0
ENSMUSG00000002043,775,1037,808,646,1023,711,733
ENSMUSG00000002052,1564,2734,2254,1944,677,2228,2256
ENSMUSG00000002055,99,381,0,341,142,49,38
ENSMUSG00000002057,0,0,0,0,0,0,0
ENSMUSG00000002058,272,347,221,427,329,471,466
ENSMUSG00000002059,399,916,666,321,230,377,348
ENSMUSG00000002064,2427,2386,1723,1726,1834,2056,2080
ENSMUSG00000002068,2,253,136,9,319,288,301
ENSMUSG00000002076,39,54,42,0,0,22,25
ENSMUSG00000002083,1364,1017,1145,1129,1761,1338,1356
ENSMUSG00000002100,516,249,94,148,145,294,319
ENSMUSG00000002102,9583,9719,8757,7962,9665,10631,10921
ENSMUSG00000002103,793,1527,1545,1063,1192,1313,1359
ENSMUSG00000002104,5,40,38,0,3,59,41
ENSMUSG00000002105,1727,1702,1647,1956,1917,1523,1588
ENSMUSG00000002107,250,378,345,14,104,257,265
ENSMUSG00000002108,837,306,292,336,390,374,391
ENSMUSG00000002109,386,343,396,112,216,259,270
ENSMUSG00000002111,3,127,81,0,46,39,51
ENSMUSG00000002129,2190,3903,3210,3041,1278,3222,3319
ENSMUSG00000002147,11002,10161,9060,14163,10374,11213,11466
ENSMUSG00000002190,70,0,0,0,0,0,0
ENSMUSG00000002204,0,120,19,93,135,25,26
ENSMUSG00000002205,2383,2195,1883,2210,2097,2336,2425
ENSMUSG00000002210,1152,1296,1383,779,1105,1267,1318
ENSMUSG00000002221,1913,2659,2151,2300,3593,3287,3514
ENSMUSG00000002222,2145,2819,2480,1342,2410,2508,2699
ENSMUSG00000002227,775,1693,1310,1834,575,1251,1298
ENSMUSG00000002228,1343,1850,1198,1067,1315,1672,1694
ENSMUSG00000002233,12145,11991,7726,10791,11200,13393,13631
ENSMUSG00000002240,0,0,0,0,0,0,0
ENSMUSG00000002249,38,33,94,18,0,139,111
ENSMUSG00000002250,352,81,74,12,119,128,145
ENSMUSG00000002257,1339,1298,944,1398,1434,1067,1051
ENSMUSG00000002265,78,341,400,544,200,385,425
ENSMUSG00000002266,0,0,0,0,0,0,0
ENSMUSG00000002274,9,8,5,13,9,18,24
ENSMUSG00000002279,903,1121,1331,639,877,1095,1106
ENSMUSG00000002280,1226,860,851,1037,1055,1221,1273
ENSMUSG00000002289,4614,3498,3127,2578,2102,4036,4326
ENSMUSG00000002297,620,488,491,511,807,289,282
ENSMUSG00000002307,2616,3218,2359,3449,1773,2212,2290
ENSMUSG00000002308,542,601,342,300,213,513,543
ENSMUSG00000002319,1232,1728,1452,1681,2369,1364,1384
ENSMUSG00000002320,3173,3552,3253,3431,3055,3888,4030
ENSMUSG00000002324,95,47,18,0,1,1,3
ENSMUSG00000002325,6861,7060,6349,7545,7248,7011,7261
ENSMUSG00000002326,1639,1977,1888,1555,1585,2385,2401
ENSMUSG00000002329,2814,2134,2453,2198,1945,3170,3238
ENSMUSG00000002332,1374,1515,1220,909,1308,1763,1746
ENSMUSG00000002341,0,0,0,0,0,37,40
ENSMUSG00000002342,2918,2516,2199,2642,3112,3225,3440
ENSMUSG00000002343,842,296,196,908,528,607,616
ENSMUSG00000002345,498,464,380,272,381,455,473
ENSMUSG00000002346,406,143,370,318,640,311,348
ENSMUSG00000002365,3115,4645,3661,5274,5058,4305,4445
ENSMUSG00000002372,4092,3148,4060,4111,3977,4339,4504
ENSMUSG00000002379,1183,1054,929,650,795,1412,1547
ENSMUSG00000002384,0,0,0,0,2,0,0
ENSMUSG00000002393,2262,1920,1847,1907,1951,2617,2655
ENSMUSG00000002395,1399,1693,1464,913,1311,1449,1550
ENSMUSG00000002396,1251,1249,1642,477,1009,1645,1733
ENSMUSG00000002409,563,1227,948,285,1179,1034,996
ENSMUSG00000002413,1835,2222,2611,1669,1905,2172,2141
ENSMUSG00000002416,311,441,611,435,370,760,843
ENSMUSG00000002428,1274,2378,1326,1982,1821,1653,1654
ENSMUSG00000002455,4793,4865,6118,3498,2749,3993,3935
ENSMUSG00000002458,1466,1095,922,1791,1331,1586,1682
ENSMUSG00000002459,0,34,0,24,0,0,0
ENSMUSG00000002475,139,119,218,127,105,93,94
ENSMUSG00000002477,390,456,388,340,577,400,391
ENSMUSG00000002486,255,578,451,583,631,723,744
ENSMUSG00000002489,0,35,23,15,4,44,37
ENSMUSG00000002496,3272,4804,4301,3191,4726,4619,4718
ENSMUSG00000002500,67,0,0,0,0,38,33
ENSMUSG00000002504,105133,94413,78923,87397,89529,85147,87792
ENSMUSG00000002524,12397,12357,13047,13403,12099,12243,12533
ENSMUSG00000002546,1802,2643,1516,2557,1681,2626,2783
ENSMUSG00000002550,744,1037,985,1028,503,791,840
ENSMUSG00000002565,126,0,18,18,0,248,235
ENSMUSG00000002578,247,251,231,131,156,1,1
ENSMUSG00000002580,445,366,309,238,374,365,393
ENSMUSG00000002588,0,0,0,0,0,0,0
ENSMUSG00000002602,2258,5142,8059,6771,10372,14037,14497
ENSMUSG00000002603,4314,4338,3742,3199,3875,4809,4874
ENSMUSG00000002608,2885,3920,2852,3294,3736,2577,2613
ENSMUSG00000002617,390,528,639,169,563,632,679
ENSMUSG00000002625,4968,5391,6712,3925,5455,6164,6097
ENSMUSG00000002633,0,0,0,0,0,0,0
ENSMUSG00000002635,752,734,764,653,1151,1026,1098
ENSMUSG00000002658,2399,1771,2591,2651,2133,2439,2435
ENSMUSG00000002660,1496,1793,1477,976,1413,1838,1958
ENSMUSG00000002661,206,284,208,377,129,273,289
ENSMUSG00000002664,11,0,40,60,0,6,12
ENSMUSG00000002668,0,0,16,39,0,58,48
ENSMUSG00000002679,844,836,869,1226,1109,977,1019
ENSMUSG00000002688,1748,1947,2656,1420,1761,2576,2632
ENSMUSG00000002699,108,409,94,228,110,267,250
ENSMUSG00000002718,2534,3103,2385,2582,1989,3611,3678
ENSMUSG00000002728,1963,2086,1988,1568,1327,2660,2752
ENSMUSG00000002731,764,1140,520,738,751,613,585
ENSMUSG00000002732,1401,1650,1355,976,1472,1299,1408
ENSMUSG00000002733,5266,5805,5207,5326,5533,5652,5786
ENSMUSG00000002741,2965,3008,3127,2958,2264,3224,3362
ENSMUSG00000002748,2891,4097,3126,2898,2947,3097,3272
ENSMUSG00000002763,3822,4277,3416,2751,3902,4289,4390
ENSMUSG00000002767,1252,1551,1504,1369,1464,1815,1696
ENSMUSG00000002768,1767,1484,1240,1380,1474,1389,1415
