"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol","entrezid"
"ENSMUSG00000000216",5958.88151469602,-0.852815578452213,0.209632548195261,-4.06814488396078,4.73889138104157e-05,0.00522553907286391,"Scnn1g","20278"
"ENSMUSG00000000244",22.006026267245,0.206420320883309,0.18538125533454,1.11349079231771,0.265497700677364,NA,"Tspan32","27027"
"ENSMUSG00000000247",12.1678431065824,0.0426859124310353,0.085076076357769,0.501738141419792,NA,NA,"Lhx2","16870"
"ENSMUSG00000000253",1566.49954341792,-0.520377051213369,0.230664280307282,-2.25599321455469,0.0240710560870207,0.27164272046966,"Gmpr","66355"
"ENSMUSG00000000266",2009.06462645297,-0.0180549022110523,0.249635306690594,-0.0723251147860673,0.942343178321918,0.992578337065054,"Mid2","23947"
"ENSMUSG00000000275",5072.2886361955,0.372777966329692,0.159461384045474,2.33773191272055,0.0194011595996438,0.240168931658803,"Trim25","217069"
"ENSMUSG00000000276",1405.21478384291,0.123196222415836,0.23875988454041,0.515983757711131,0.605865753379277,0.935691184517554,"Dgke","56077"
"ENSMUSG00000000278",3812.48825683281,0.615108853450816,0.13260864429076,4.63852757669489,3.50900120854792e-06,0.000762144429159613,"Scpep1","74617"
"ENSMUSG00000000282",596.303128883453,0.168391844698321,0.273925482836462,0.61473596014013,0.538729107502052,0.914359668013488,"Mnt","17428"
"ENSMUSG00000000290",250.03539950136,0.48856647280438,0.22096757516709,2.21103242154392,0.0270335919919165,0.290473305491304,"Itgb2","16414"
"ENSMUSG00000000295",478.006031540571,0.167458090866213,0.269159997749188,0.622150736612263,0.533842755687166,0.91100582698738,"Hddc2","69692"
"ENSMUSG00000000296",1003.47073321002,-0.553751515028789,0.270314218283423,-2.048547496115,0.0405063831907777,0.35887453834351,"Tpd52l1","21987"
"ENSMUSG00000000301",43.3269829965843,-0.145481729951164,0.271560664393709,-0.535724606050619,0.592148895228177,0.931613933081727,"Pemt","18618"
"ENSMUSG00000000303",10708.1571828052,-0.557458992237687,0.186219869912319,-2.99355268855125,0.00275749892298162,0.0770540878380925,"Cdh1","12550"
"ENSMUSG00000000305",350.949710375286,0.339012912014484,0.281503085055156,1.20429554776659,0.228475366908696,0.726895618608301,"Cdh4","12561"
"ENSMUSG00000000308",3736.88124622797,-0.377211063553584,0.228461698839199,-1.65109103832359,0.0987199869460219,0.525879702150853,"Ckmt1","12716"
"ENSMUSG00000000317",5350.26107209972,0.179157477944414,0.187250384586402,0.956780293616679,0.33867816081884,0.813978895067483,"Bcl6b","12029"
"ENSMUSG00000000320",4710.39056079209,0.120029980485896,0.230473576038271,0.520797145378456,0.602508091897001,0.934884121856117,"Alox12","11684"
"ENSMUSG00000000325",683.815575918796,-0.449654295570304,0.240205758737917,-1.87195468556984,0.0612128729363603,0.425785265395974,"Arvcf","11877"
"ENSMUSG00000000326",4139.6011288555,-0.16099802978416,0.176755321634878,-0.910852518017718,0.362373086575996,0.827487647177458,"Comt","12846"
"ENSMUSG00000000339",1234.28608358372,0.164309098577574,0.187759358464274,0.875104708076846,0.3815169356036,0.839196757998713,"Rtca","66368"
"ENSMUSG00000000340",1551.07597195041,-0.404459109113688,0.206847218752277,-1.95535193343873,0.05054154533112,0.394400137355256,"Dbt","13171"
"ENSMUSG00000000346",29175.2235144233,0.229589120324443,0.152424301850389,1.50625010275457,0.132002981951722,0.589543576627834,"Dazap2","23994"
"ENSMUSG00000000355",990.114611514012,-0.243273217258299,0.220392881514407,-1.10381612866383,0.269672906963764,0.769123169922116,"Mcts1","68995"
"ENSMUSG00000000359",240.770531873252,-0.471370225050297,0.274288383980393,-1.71852055201868,0.0857017090502654,0.493544002523312,"Rem1","19700"
"ENSMUSG00000000365",34.9303503096516,-0.0907507214512256,0.0970061854804227,-0.935514792193745,NA,NA,"Rnf17","30054"
"ENSMUSG00000000374",1714.29932785777,0.0139865462663575,0.202969375063333,0.0689096385205561,0.945061546329128,0.992578337065054,"Trappc10","216131"
"ENSMUSG00000000378",2185.46954664389,0.0220253574441361,0.155297994213483,0.141826412863122,0.887217120505494,0.982843646815184,"Ccm2","216527"
"ENSMUSG00000000384",321.356480617329,-0.314114970234416,0.246625547556921,-1.27365138504931,0.202786992711869,0.694114503468157,"Tbrg4","21379"
"ENSMUSG00000000385",5793.14644929833,-0.727640520512462,0.214141708553191,-3.39793926848081,0.000678954906505843,0.0329215815927984,"Tmprss2","50528"
"ENSMUSG00000000386",65.2424349083266,-0.186965242911766,0.197107037439467,-0.948546765963057,0.342851176845284,0.816892652309838,"Mx1","17857"
"ENSMUSG00000000392",2.78786833457313,-0.0638057920361528,0.082114241081238,-0.777036859818602,NA,NA,"Fap","14089"
"ENSMUSG00000000394",1.35127991787461,0.0614980758597022,0.0806896477311016,0.76215571128337,0.445967075615286,NA,"Gcg","14526"
"ENSMUSG00000000399",5083.14547011506,-0.282310395055444,0.15815993758284,-1.7849677950687,0.0742665407824968,0.461336656819041,"Ndufa9","66108"
"ENSMUSG00000000402",2222.0680876759,-0.862639661046426,0.268242092443056,-3.21589968669646,0.00130036277475321,0.0495763307874663,"Egfl6","54156"
"ENSMUSG00000000409",196.679229336418,0.504762629694631,0.278240179873458,1.81412558719662,0.0696583930829881,0.449596157066472,"Lck","16818"
"ENSMUSG00000000411",11.2395812311914,0.00374742508440343,0.0831762579075057,0.0450540235720952,0.964064248055285,NA,"Tssk3","58864"
"ENSMUSG00000000416",1292.75242508567,-0.491815853963194,0.239266497337132,-2.05551491511247,0.0398292965508307,0.355733935237482,"Cttnbp2","30785"
"ENSMUSG00000000420",7358.51943913496,0.071019034559598,0.102279232936805,0.694364168760227,0.487453858438892,0.894975088312452,"Galnt1","14423"
"ENSMUSG00000000439",1667.57475094218,0.353940493854842,0.178898077444274,1.97844772236355,0.0478782206035008,0.384004871253581,"Mkrn2","67027"
"ENSMUSG00000000440",2377.87162706647,0.1625442534798,0.246917622793979,0.658293448805077,0.510349586799428,0.902603794719909,"Pparg","19016"
"ENSMUSG00000000441",8396.87021929338,-0.154570934498867,0.111929649512278,-1.38096505414244,0.167289705784258,0.648617627378265,"Raf1","110157"
"ENSMUSG00000000486",75.7414367819211,0.063521250683945,0.280113321377701,0.22676983147936,0.82060272358855,0.974869593774896,NA,NA
"ENSMUSG00000000489",5391.46981466085,0.102980883118985,0.188994424444415,0.54488847182512,0.585830225441314,0.931046867483036,"Pdgfb","18591"
"ENSMUSG00000000530",15627.7225220279,0.280034085002523,0.179699512720812,1.55834637925588,0.119151160183863,0.565618621211334,"Acvrl1","11482"
"ENSMUSG00000000531",8214.64964930483,0.341757429665408,0.134561580547781,2.53978459731346,0.011092075976312,0.177391975915526,"Grasp","56149"
"ENSMUSG00000000532",351.367476687522,0.246951463363275,0.279710219749506,0.882883233885525,0.377299363172974,0.836093288670492,"Acvr1b","11479"
"ENSMUSG00000000538",9901.94058795018,0.169457288652445,0.157568699234553,1.07545019712446,0.282173218194109,0.779058346831198,"Tom1l2","216810"
