"","CellType"
"1303","Young"
"1304","Young"
"1305","Young"
"1306","Young"
"1307","Young"
"1308","Young"
"1309","Young"
"1310","Young"
"1311","Young"
"1312","Young"
"1313","Young"
"1314","Young"
"1315","Young"
"1316","Young"
"1317","Young"
"1318","Young"
"1319","Young"
"1320","Young"
"1321","Young"
"1322","Young"
"1323","Young"
"1324","Young"
"1325","Young"
"1326","Young"
"1327","Young"
"1328","Young"
"1329","Young"
"1330","Young"
"1331","Young"
"1332","Young"
"1333","Young"
"1334","Young"
"1335","Young"
"1336","Young"
"1337","Young"
"1338","Young"
"1339","Young"
"1340","Young"
"1341","Young"
"1342","Young"
"1343","Young"
"1344","Young"
"1345","Young"
"1346","Young"
"1347","Young"
"1348","Young"
"1349","Young"
"1350","Young"
"1351","Young"
"1352","Young"
"1353","Young"
"1354","Young"
"1355","Young"
"1356","Young"
"1357","Young"
"1358","Young"
"1359","Young"
"1360","Young"
"1361","Young"
"1362","Young"
"1363","Young"
"1364","Young"
"1365","Young"
"1366","Young"
"1367","Young"
"1368","Young"
"1369","Young"
"1370","Young"
"1371","Young"
"1372","Young"
"1373","Young"
"1374","Young"
"1375","Young"
"1376","Young"
"1377","Young"
"1378","Young"
"1379","Young"
"1380","Young"
"1381","Young"
"1382","Young"
"1383","Young"
"1384","Young"
"1385","Young"
"1386","Young"
"1387","Young"
"1388","Young"
"1389","Young"
"1390","Young"
"1391","Young"
"1392","Young"
"1393","Young"
"1394","Young"
"1395","Young"
"1396","Young"
"1397","Young"
"1398","Young"
"1399","Young"
"1400","Young"
"1401","Young"
"1402","Young"
"1403","Young"
"1404","Young"
"1405","Young"
"1406","Young"
"1407","Young"
"1408","Young"
"1409","Young"
"1410","Young"
"1411","Young"
"1412","Young"
"1413","Young"
"1414","Young"
"1415","Young"
"1416","Young"
"1417","Young"
"1418","Young"
"1419","Young"
"1420","Young"
"1421","Young"
"1422","Young"
"1423","Young"
"1424","Young"
"1425","Young"
"1426","Young"
"1427","Young"
"1428","Young"
"1429","Young"
"1430","Young"
"1431","Young"
"1432","Young"
"1433","Young"
"1434","Young"
"1435","Young"
"1436","Young"
"1437","Young"
"1438","Young"
"1439","Young"
"1440","Young"
"1441","Young"
"1442","Young"
"1443","Young"
"1444","Young"
"1445","Young"
"1446","Young"
"1447","Young"
"1448","Young"
"1449","Young"
"1450","Young"
"1451","Young"
"1452","Young"
"1453","Young"
"1454","Young"
"1455","Young"
"1456","Young"
"1457","Young"
