"","V1","V2","cl_kmeans","cl_hierarchical","CellNames"
"Cell_1411",-32.8561164406545,5.14896565309686,"7","7","Cell_1411"
"Cell_1421",-13.9336974775957,21.8461402651802,"7","7","Cell_1421"
"Cell_1431",24.4494259337286,-1.38482612500035,"8","8","Cell_1431"
"Cell_1441",-30.403566176776,13.8936546121974,"7","7","Cell_1441"
"Cell_1451",-12.3360903689869,7.29200748969404,"3","7","Cell_1451"
"Cell_1461",-7.35954464382624,31.7908257638421,"5","2","Cell_1461"
"Cell_1471",25.6623776245259,-8.00307828604969,"8","5","Cell_1471"
"Cell_1481",22.9396873923636,24.8034516359309,"6","8","Cell_1481"
"Cell_1491",13.3748383834651,27.3746790586919,"6","8","Cell_1491"
"Cell_1501",4.52562200057318,15.1728537465778,"3","1","Cell_1501"
"Cell_1511",-11.7319182908105,-7.07439196012727,"1","4","Cell_1511"
"Cell_1521",-19.547167849719,12.2252660207004,"7","7","Cell_1521"
"Cell_1531",8.30040112327205,-2.64407052770453,"4","1","Cell_1531"
"Cell_1541",-13.4792249243069,9.6150502835147,"7","7","Cell_1541"
"Cell_1551",26.9898241617847,-1.98255388840568,"8","8","Cell_1551"
"Cell_1561",17.1599334827568,22.3304753418128,"6","8","Cell_1561"
"Cell_1571",-8.49774046422348,3.42101314735832,"3","4","Cell_1571"
"Cell_1581",15.2866529016869,5.18604332684989,"6","1","Cell_1581"
"Cell_1591",5.14632857932369,-37.3782125326061,"2","3","Cell_1591"
"Cell_1601",1.61753943947609,-7.30101213652693,"4","4","Cell_1601"
"Cell_1611",2.49260154899714,-0.237712406591793,"3","1","Cell_1611"
"Cell_1621",0.0615946528285518,-4.09547647341837,"3","4","Cell_1621"
"Cell_1631",-20.0631116587094,9.13519718726605,"7","7","Cell_1631"
"Cell_1641",17.8608656154591,24.7582288740353,"6","8","Cell_1641"
"Cell_1651",-33.7781838813893,18.9904126503583,"7","7","Cell_1651"
"Cell_1661",0.232014139707066,36.3298889099455,"5","2","Cell_1661"
"Cell_1671",-21.5601925550458,12.6289701207031,"7","7","Cell_1671"
"Cell_1681",30.1156500698249,-10.7536766555928,"8","5","Cell_1681"
"Cell_1691",3.38050515186958,-38.8822506095255,"2","3","Cell_1691"
"Cell_1701",15.3512721201275,5.10148855146984,"6","1","Cell_1701"
"Cell_1711",-7.7871459705687,36.8824022561163,"5","2","Cell_1711"
"Cell_1721",-28.9132183910768,6.23273276345515,"7","7","Cell_1721"
"Cell_1731",14.2626306005444,23.5318001673813,"6","8","Cell_1731"
"Cell_1741",7.06233797235428,-36.724541899884,"2","3","Cell_1741"
"Cell_1751",17.0365148051021,21.6312335572097,"6","8","Cell_1751"
"Cell_1761",-2.82085019709693,12.880283142304,"3","1","Cell_1761"
"Cell_1771",-1.90020386295384,-17.6858987438279,"4","4","Cell_1771"
"Cell_1781",-19.4967793829518,3.92514177747684,"7","7","Cell_1781"
"Cell_1791",6.92091039900932,-22.3008831256214,"4","6","Cell_1791"
"Cell_1801",-6.04035325036183,-0.0312899668142731,"3","4","Cell_1801"
"Cell_1811",-4.85435915930971,36.0323737661133,"5","2","Cell_1811"
"Cell_1821",-6.16079658981098,-23.1436220907197,"2","4","Cell_1821"
"Cell_1831",-23.0530120837047,17.0656080136755,"7","7","Cell_1831"
"Cell_1841",1.81576977162823,-8.12275492544869,"4","4","Cell_1841"
"Cell_1851",-12.2565485101464,-0.405160624678631,"1","4","Cell_1851"
"Cell_1861",-23.8893396173139,-1.2350599344417,"7","7","Cell_1861"
"Cell_1871",21.739540157194,20.6199282096917,"6","8","Cell_1871"
"Cell_1881",3.77498853016416,29.893909432383,"5","2","Cell_1881"
"Cell_1891",14.8742593269541,23.2062835946154,"6","8","Cell_1891"
"Cell_1901",32.9750995035682,-10.4321279366964,"8","5","Cell_1901"
"Cell_1911",23.3887849841213,21.1584418080597,"6","8","Cell_1911"
"Cell_1921",3.65309521385126,-34.3507296149504,"2","3","Cell_1921"
"Cell_1931",1.12675868333672,-39.4540673384039,"2","3","Cell_1931"
"Cell_1941",-10.0340511825766,25.4982270680138,"5","2","Cell_1941"
"Cell_1951",-0.302693215975382,31.1970715055436,"5","2","Cell_1951"
"Cell_1961",15.0610546241403,18.3781157982276,"6","8","Cell_1961"
"Cell_1971",16.7883696310069,27.6117289474322,"6","8","Cell_1971"
"Cell_1981",-2.13925610899888,5.70153834416126,"3","1","Cell_1981"
"Cell_1991",30.9719597051806,-15.3498116209518,"8","5","Cell_1991"
"Cell_2001",5.61699263484443,-18.5817057876394,"4","6","Cell_2001"
"Cell_2011",-5.83656218389968,21.5549192328923,"5","2","Cell_2011"
"Cell_2021",16.9741517186373,14.9885580811766,"6","8","Cell_2021"
"Cell_2031",4.84597938287339,29.0827791848781,"5","2","Cell_2031"
"Cell_2041",-4.53980516091981,32.7427460822407,"5","2","Cell_2041"
"Cell_2051",-9.54042402309653,16.4038182388167,"3","7","Cell_2051"
"Cell_2061",-25.3985027751397,-5.79511399094198,"1","4","Cell_2061"
"Cell_2071",-0.936991131991166,33.8125901275287,"5","2","Cell_2071"
