"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Fam177a",0.0173316154589206,-0.342633279503701,0.123,0.196,1
"Luc7l3",0.0174871150855535,0.282267242731294,0.143,0.065,1
"Endou",0.017717681510751,-0.350617449079195,0.057,0.116,1
"Jam3",0.0178686772486539,0.295480187700357,0.235,0.138,1
"Acer2",0.0181598434925287,-0.372922240752793,0.059,0.116,1
"Prpf40a",0.018199485183933,0.277029242588567,0.143,0.065,1
"Smpdl3a",0.0185216653900683,0.265850151225335,0.399,0.275,1
"Rpp21",0.0186343749137463,0.258310782061788,0.143,0.065,1
"Rtcb",0.019248286398509,0.339413488645621,0.137,0.065,1
"Emc3",0.0192931606408879,0.265178203023815,0.17,0.087,1
"Mpc1",0.019403468424583,0.264099469742571,0.153,0.072,1
"Rpf1",0.0194921907824414,0.288486404751814,0.11,0.043,1
"Mxd4",0.0199157792655292,-0.290375692754603,0.325,0.406,1
"Polr2l",0.0202482047371054,0.334097111083139,0.108,0.043,1
"Ccdc28b",0.0204412069283202,0.273632074391647,0.123,0.051,1
"Csnk1e",0.0206928875975978,0.258804367467128,0.153,0.072,1
"Cops8",0.0206971078594571,0.31190908217125,0.137,0.065,1
"Pik3r6",0.0213398562128734,0.286998079623364,0.129,0.058,1
"Snrpb2",0.0221781729172894,-0.415156472391549,0.102,0.167,1
"Stxbp3",0.0230737669755247,0.251984489643963,0.119,0.051,1
"Ndufb8",0.023463269371761,-0.364183529636478,0.309,0.384,1
"Lasp1",0.0237829981824823,0.264644365635886,0.166,0.087,1
"Stmn1",0.0238032881321755,0.273768755483259,0.121,0.051,1
"Ubxn2a",0.0239937418572407,0.308126766580756,0.125,0.058,1
"Tmx1",0.0241860017684966,0.274167269199223,0.166,0.087,1
"Vps35",0.0242043450770759,0.284925171014152,0.168,0.087,1
"Swi5",0.0255001254868559,0.260389441901278,0.317,0.217,1
"Sec61b",0.0258709309010496,0.26199794930084,0.297,0.203,1
"Ankrd37",0.026452833353388,-0.309370903625349,0.078,0.138,1
"Rps12",0.0264844982255403,-0.294635608549394,0.636,0.616,1
"Elf2",0.0265492524412006,0.267210193917925,0.194,0.109,1
"Hspa9",0.0267759953338006,0.270053756058028,0.164,0.087,1
"Dock9",0.0273512729479622,0.320265888436264,0.141,0.072,1
"Dram2",0.0275764587213876,-0.361788958211832,0.241,0.319,1
"Igf1r",0.027855233090837,-0.333068768184655,0.067,0.123,1
"Dync1li1",0.0281411806461483,-0.295136805309518,0.051,0.101,1
"Uhrf2",0.0282026022133241,0.254009601843188,0.143,0.072,1
